crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
10024,MGMT 4391,Select Topics Mgmt,We,7:00PM,9:50PM,Bayou Building 2122,"Danna Small,
Lisa B Gossett",Spring 2023,< 50% online,Opened
25007,MGMT 5031,Survey of Business Principles,TDB,TDB,TDB,TBA,"Ahsanul Huq,
Melissa A. Williams",Spring 2023,100% Online,Opened
20598,MGMT 5032,Human Behavior in Organization,TDB,TDB,TDB,TBA,Silvana Chambers,Spring 2023,100% Online,Closed
20636,MGMT 5032,Human Behavior in Organization,We,7:00PM,9:50PM,Bayou Building 1333,Silvana Chambers,Spring 2023,< 50% online,Opened
20854,MGMT 5131,The Global Environment of Business,TDB,TDB,TDB,TBA,Dina M Abdel-Zaher,Spring 2023,100% Online,Opened
20856,MGMT 5131,The Global Environment of Business,Mo,7:00PM,9:50PM,Bayou Building 1335,Alex Martynov,Spring 2023,< 50% online,Opened
20632,MGMT 5133,Teamwork & Leadership Skills: Theory and Practice,Tu,7:00PM,9:50PM,Bayou Building 1302,Clifton O Mayfield,Spring 2023,< 50% online,Opened
20600,MGMT 5434,Negotiation Skills and Strategies,We,7:00PM,9:50PM,Bayou Building 1333,Derrick Glenn Parker,Spring 2023,< 50% online,Opened
20633,MGMT 5636,Management Of Technology,TDB,TDB,TDB,TBA,Dorothy M Kirkman,Spring 2023,100% Online,Opened
20637,MGMT 6135,Data Visualization and Communication,TDB,TDB,TDB,TBA,Donna Stringer,Spring 2023,100% Online,Opened
20601,MGMT 6237,Comparative Leadership,TDB,TDB,TDB,TBA,Clifton O Mayfield,Spring 2023,100% Online,Opened
20640,MGMT 6334,Global Sustainability and Strategic Advantage,TDB,TDB,TDB,TBA,Dina M Abdel-Zaher,Spring 2023,100% Online,Opened
20603,MGMT 6731,Strategic Management Seminar,TDB,TDB,TDB,TBA,Alex Martynov,Spring 2023,100% Online,Closed
20639,MGMT 6731,Strategic Management Seminar,Th,7:00PM,9:50PM,Bayou Building 1333,Alex Martynov,Spring 2023,< 50% online,Opened
10174,MKTG 3301,Principles of Marketing,TuTh,2:30PM,3:50PM,Bayou Building 1313,Lynn Place,Spring 2023,100% F2F w/supplmtnl web,Closed
10175,MKTG 3301,Principles of Marketing,We,1:00PM,3:50PM,Bayou Building 1218,Lynn Place,Spring 2023,100% F2F w/supplmtnl web,Opened
10176,MKTG 3301,Principles of Marketing,TDB,TDB,TDB,TBA,S. Altan Erdem,Spring 2023,100% Online,Closed
10178,MKTG 3301,Principles of Marketing,TDB,TDB,TDB,TBA,Fang Yu-Buck,Spring 2023,100% Online,Opened
10180,MKTG 3301,Principles of Marketing,TDB,TDB,TDB,TBA,Ryan William Paul,Spring 2023,100% Online,Closed
10182,MKTG 3301,Principles of Marketing,Mo,7:00PM,9:50PM,Bayou Building 1218,S. Altan Erdem,Spring 2023,< 50% online,Closed
20870,MKTG 3301,Principles of Marketing,TDB,TDB,TDB,TBA,L. Jean Walker,Spring 2023,100% Online,Opened
10183,MKTG 3313,Marketing Channels & Distribution,TDB,TDB,TDB,TBA,S. Altan Erdem,Spring 2023,100% Online,Closed
10185,MKTG 3331,Integrated Mktg Communication,We,4:00PM,6:50PM,Bayou Building 2122,Lynn Place,Spring 2023,100% F2F w/supplmtnl web,Opened
10186,MKTG 3343,Consumer Behavior,TDB,TDB,TDB,TBA,Fang Yu-Buck,Spring 2023,100% Online,Closed
10188,MKTG 3348,Retail Management,Tu,4:00PM,6:50PM,Bayou Building 1313,Lynn Place,Spring 2023,100% F2F w/supplmtnl web,Opened
10189,MKTG 3351,Marketing Research,Th,4:00PM,6:50PM,Bayou Building 1313,Fang Yu-Buck,Spring 2023,< 50% online,Opened
10190,MKTG 3360,Social Media Marketing,TDB,TDB,TDB,TBA,Leroy Robinson,Spring 2023,100% Online,Closed
10192,MKTG 4335,Brands and Brand Management,TDB,TDB,TDB,TBA,L. Jean Walker,Spring 2023,100% Online,Opened
20595,MKTG 5332,Executive Decisions in Marketg,Tu,7:00PM,9:50PM,Bayou Building 1326,L. Jean Walker,Spring 2023,< 50% online,Opened
20628,MKTG 5332,Executive Decisions in Marketg,TDB,TDB,TDB,TBA,L. Jean Walker,Spring 2023,100% Online,Opened
25611,MSCI 1220,Introduction to Leadership II,We,10:00AM,12:00PM,TBA,"Susan Mangum,
Roland Thomas",Spring 2023,Face to Face,Opened
25800,MSCI 1220,Introduction to Leadership II,Fr,7:30AM,9:30AM,TBA,Susan Mangum,Spring 2023,Face to Face,Opened
25801,MSCI 1220,Introduction to Leadership II,Fr,7:30AM,9:30AM,TBA,Susan Mangum,Spring 2023,Face to Face,Opened
25802,MSCI 2220,Foundations of Leadership II,Fr,7:30AM,9:30AM,TBA,Susan Mangum,Spring 2023,Face to Face,Opened
25803,MSCI 3320,Adv Military Science,Fr,7:30AM,9:30AM,TBA,Susan Mangum,Spring 2023,Face to Face,Closed
25427,NCBI    1,NCB Integrated Reading and Writing,TDB,TDB,TDB,TBA,Regan Alexandria Joswiak,Spring 2023,100% F2F w/supplmtnl web,Opened
20063,NCBM    1,NCB Math,MoWe,10:00AM,11:20AM,Bayou Building 3400,Teresa D Rivas,Spring 2023,100% F2F w/supplmtnl web,Opened
26708,NCBM    1,NCB Math,TuTh,1:00PM,2:20PM,Bayou Building 3400,Teresa D Rivas,Spring 2023,100% F2F w/supplmtnl web,Opened
20552,NURS 3311,History and Theories of Nursing,TDB,TDB,TDB,TBA,Nisha Cherian,Spring 2023,100% Online,Opened
19546,OSHE 3340,Tech Of Safety Engineer&Analys,We,7:00PM,9:50PM,STEM 2103,William Mark Young,Spring 2023,< 50% online,Opened
19688,OSHE 4324,Fire Safety Engineering,Mo,7:00PM,9:50PM,STEM 2103,Patricia Ann Reed,Spring 2023,< 50% online,Opened
19689,OSHE 4333,Construction & General Industry Safety,Tu,7:00PM,9:50PM,STEM 2103,Magdy Akladios,Spring 2023,< 50% online,Opened
19690,OSHE 4422,Indst Hygiene Sampling Anly,Th,4:00PM,9:50PM,STEM 2109,Robert N Phalen,Spring 2023,< 50% online,Opened
19718,OSHE 5530,Research Methods: INDH,We,7:00PM,9:50PM,STEM 2101,Robert N Phalen,Spring 2023,< 50% online,Opened
19725,OSHE 6242,Analy Method For Eval Of H & H,Th,4:00PM,9:50PM,STEM 2109,Robert N Phalen,Spring 2023,< 50% online,Opened
19731,OSHE 6332,Safety Engineering,Mo,7:00PM,9:50PM,STEM 2109,Magdy Akladios,Spring 2023,< 50% online,Opened
19760,OSHE 6333,Standards of Construction & General Industries,Tu,7:00PM,9:50PM,STEM 2103,Magdy Akladios,Spring 2023,100% Online,Opened
27146,OSHE 6333,Standards of Construction & General Industries,Tu,7:00PM,9:50PM,TBA,Magdy Akladios,Spring 2023,< 50% online,Opened
19762,OSHE 6838,Research Project,We,7:00PM,9:50PM,STEM 2101,Robert N Phalen,Spring 2023,< 50% online,Opened
20443,PHIL 3331,Ethics,Mo,4:00PM,6:50PM,Bayou Building 1217,Daniel Silvermintz,Spring 2023,> or equal to 50% Online,Opened
20444,PHIL 3331,Ethics,Tu,4:00PM,6:50PM,Bayou Building 1311,Julio C. Covarrubias-Cabeza,Spring 2023,100% F2F w/supplmtnl web,Opened
20461,PHIL 4314,The Great Philosophers I,We,4:00PM,6:50PM,Bayou Building 3332,Keith M Parsons,Spring 2023,100% F2F w/supplmtnl web,Closed
20441,PHIL 4391,Selected Topics in Philosophy,Th,4:00PM,6:50PM,Bayou Building 1218,Julio C. Covarrubias-Cabeza,Spring 2023,100% F2F w/supplmtnl web,Opened
19990,PHYS 1101,Laboratory for College Physics I,Mo,1:00PM,3:50PM,STEM 1101,Linhdung Pham,Spring 2023,100% F2F w/supplmtnl web,Opened
19993,PHYS 1102,Laboratory for College Physics II,TDB,TDB,TDB,TBA,Walter H Thompson,Spring 2023,100% Online,Closed
19994,PHYS 1102,Laboratory for College Physics II,TDB,TDB,TDB,TBA,Walter H Thompson,Spring 2023,100% Online,Opened
19996,PHYS 1102,Laboratory for College Physics II,We,1:00PM,3:50PM,STEM 1103,Wes Kelly,Spring 2023,100% F2F w/supplmtnl web,Opened
19998,PHYS 1301,College Physics I,MoWe,5:30PM,6:50PM,SSCB 3310,Paul A Withey,Spring 2023,100% F2F w/supplmtnl web,Opened
20000,PHYS 1302,College Physics II,TDB,TDB,TDB,TBA,Walter H Thompson,Spring 2023,100% Online,Closed
20001,PHYS 1302,College Physics II,TuTh,10:00AM,11:20AM,STEM 2101,Tej Bahadur Limbu,Spring 2023,100% F2F w/supplmtnl web,Opened
23668,PHYS 2125,Laboratory for University Physics I,TuTh,5:30PM,6:50PM,STEM 1200,Serkan Caliskan,Spring 2023,100% F2F w/supplmtnl web,Opened
25437,PHYS 2125,Laboratory for University Physics I,MoWe,10:30AM,11:50AM,STEM 1200,Linhdung Pham,Spring 2023,100% F2F w/supplmtnl web,Opened
