crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
20064,COMM 1315,Public Speaking,MWF,1100,1150,Bayou Building 2235,Brent C Kice,Fall 2023,100% F2F w/supplmtnl web,Opened
20065,COMM 1315,Public Speaking,TH,830,950,Bayou Building 1335,Andrea Michea Baldwin,Fall 2023,100% F2F w/supplmtnl web,Opened
20066,COMM 1315,Public Speaking,TH,1000,1120,Bayou Building 1333,Andrea Michea Baldwin,Fall 2023,100% F2F w/supplmtnl web,Opened
20067,COMM 1315,Public Speaking,TH,1130,1250,Bayou Building 1135,Andrea Michea Baldwin,Fall 2023,100% F2F w/supplmtnl web,Opened
20068,COMM 1315,Public Speaking,TH,1300,1420,Bayou Building 1439,Donna Bright Noll,Fall 2023,100% F2F w/supplmtnl web,Opened
20069,COMM 1315,Public Speaking,M,1900,2150,Bayou Building 1135,Justin W Murphy,Fall 2023,100% F2F w/supplmtnl web,Opened
20070,COMM 3320,Principles of Public Relations,H,830,1120,Bayou Building 2524,Anna Klyueva,Fall 2023,< 50% online,Opened
20071,COMM 3321,Media Writing,W,900,1150,Bayou Building 1333,Debra Ellen Clark,Fall 2023,100% F2F w/supplmtnl web,Opened
20072,COMM 3322,Social Media Analytics,T,1300,1550,Student Services Bld 220114,Brandon Christopher Harris,Fall 2023,100% F2F w/supplmtnl web,Opened
20073,COMM 3323,Social Media Content Production,H,1600,1850,Bayou Building 1133,Brandon Christopher Harris,Fall 2023,< 50% online,Opened
20074,COMM 3350,Visual Communication,H,1300,1550,Student Services Bld 2201.03,Leo Chan,Fall 2023,> or equal to 50% Online,Opened
20075,COMM 3350,Visual Communication,W,1300,1550,Student Services Bld 220114,Roberto Villarreal Castillo,Fall 2023,> or equal to 50% Online,Opened
20076,COMM 3352,Media Law,M,1300,1550,Bayou Building 2122,Brent C Kice,Fall 2023,100% F2F w/supplmtnl web,Opened
20078,COMM 3356,Advertising Procedure,T,830,1120,Bayou Building 2237,Julie F Syers,Fall 2023,100% F2F w/supplmtnl web,Opened
20079,COMM 3357,Crisis Communication,M,1600,1850,Bayou Building 1313,Anna Klyueva,Fall 2023,< 50% online,Opened
20080,COMM 4061,Communication Portfolio,TDB,TDB,TDB,TBA,Leo Chan,Fall 2023,< 50% online,Opened
20081,COMM 4301,Global Issues in Film,TDB,TDB,TDB,TBA,Debra Ellen Clark,Fall 2023,100% Online,Opened
20082,COMM 4322,Public Relations Writing,T,1600,1850,SSCB� 220113,Anna Klyueva,Fall 2023,< 50% online,Opened
20083,COMM 4350,3D Computer Modeling,M,1900,2150,Student Services Bld 220101,Anne M Henry,Fall 2023,> or equal to 50% Online,Opened
20086,COMM 4354,Video Production 1,T,1900,2150,SSCB� 220113,Michael C Brims,Fall 2023,> or equal to 50% Online,Opened
20087,COMM 4355,Narrative Video Production,H,1900,2150,SSCB� 220113,Michael C Brims,Fall 2023,> or equal to 50% Online,Opened
20088,COMM 4358,Publication Design,W,1600,1850,SSCB� 220113,Brenda F Faxel,Fall 2023,< 50% online,Opened
20089,COMM 4358,Publication Design,TDB,TDB,TDB,TBA,Kara Brittain,Fall 2023,100% Online,Opened
20090,COMM 4379,Communication Internship,F,1300,1550,Bayou Building 1335,Leo Chan,Fall 2023,100% F2F w/supplmtnl web,Opened
20094,COMM 4391,Selected Topics in Communication,W,1900,2150,Student Services Bld 220101,Anne M Henry,Fall 2023,> or equal to 50% Online,Opened
20095,COMM 4391,Selected Topics in Communication,W,1600,1850,Student Services Bld 220112,Brandon Christopher Harris,Fall 2023,> or equal to 50% Online,Opened
20591,CRCL 5031,Theories of Cultural Diversity,W,1900,2150,Bayou Building 1130,Maria F Curtis,Fall 2023,< 50% online,Opened
20531,CRIM 3300,Gender and Crime,TDB,TDB,TDB,TBA,Hae Rim Jin,Fall 2023,100% Online,Opened
20533,CRIM 3312,Criminology,TDB,TDB,TDB,TBA,Hae Rim Jin,Fall 2023,100% Online,Opened
20535,CRIM 3312,Criminology,TH,1300,1420,Bayou Building 2230,Hae Rim Jin,Fall 2023,> or equal to 50% Online,Opened
